지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec),염분
22188,2024-01-29,4.3,1029.8,57,6,13.2,1.1,0.8,1,1.6,4.2,4.7,33.4
22188,2024-01-30,2.8,1028.4,62,8.8,11.8,0.7,0.4,0.6,1,3.8,4.1,33.4
22188,2024-01-31,4.3,1022.7,90,10.3,12.5,0.9,0.6,0.8,1.3,3.9,5.9,33.4
22188,2024-02-01,8.1,1022.4,86,10,12.2,1.9,1.2,1.9,3.2,4.9,6.3,33.6
22188,2024-02-02,8.7,1025.8,79,9.7,12.4,2.4,1.5,1.9,3.3,4.8,5.3,33.6
22188,2024-02-03,9.6,1025.5,82,9.9,12.8,2.4,1.5,2.1,3.4,4.5,5.1,33.5
22188,2024-02-04,10.4,1022.7,85,10.2,12.9,2.6,1.7,2.3,3.8,4.7,5.3,33.5
22188,2024-02-05,12,1016.7,90,9.2,12.7,4,2.6,3,5.3,5.8,6.8,33.5
22188,2024-02-06,4.7,1023.6,79,7.4,13.1,1.9,1.2,2.1,3.1,5.2,6.3,33.5
22188,2024-02-07,4.6,1021.8,60,6.5,12.9,1.1,0.7,1.1,1.8,4.1,4.8,33.5
22188,2024-02-08,3.4,1020.2,57,7.3,12.9,1,0.7,0.8,1.4,4.2,4.9,33.4
22188,2024-02-09,7,1020.8,60,7.4,12.8,1.3,0.8,1.5,2.4,3.8,4.4,33.4
22188,2024-02-10,7.2,1023.7,56,7.6,12.7,1.4,0.9,1.4,2.2,3.7,4.2,33.4
22188,2024-02-11,9.2,1024.6,54,7.9,12.3,1.7,1.1,1.8,3.2,3.9,4.7,33.4
22188,2024-02-12,4.1,1030.3,55,,12.6,1,0.7,1.5,1.8,4.1,4.6,33.5
22188,2024-02-13,5.1,1027.8,80,,12,1.7,1,1.5,2.6,4.2,5.3,33.5
22188,2024-02-14,3.7,1022.8,95,14.8,12.4,1.6,1,1.1,2,4.3,4.8,33.5
22188,2024-02-15,6.5,1017.6,84,11.6,12.4,1.8,1.2,1.9,2.8,4.6,5.5,33.6
22188,2024-02-16,5.3,1024.1,58,8.4,12,1.7,1.1,1.5,2.4,4.9,5.9,33.6
22188,2024-02-17,1.4,1022.8,56,12.9,12.8,1,0.6,0.9,1.5,5.6,6.3,33.6
22188,2024-02-18,6.3,1019.5,92,15,13.8,1.7,1.1,2.4,3.8,4.3,5.3,33.6
22188,2024-02-19,9,1012.3,97,15.8,15.4,3.4,2.3,3.1,4.7,5.6,6,33.6
22188,2024-02-20,12.5,1019.5,99,11.8,15.2,3.8,2.3,3.2,6.4,5.4,6.2,33.7
22188,2024-02-21,15.7,1017.3,99,9.7,13.3,4.5,2.9,3.1,5.3,5.9,6.1,33.5
22188,2024-02-22,13.5,1022.4,92,8,13.4,4.4,2.8,3.4,6.6,6,6.3,33.4
22188,2024-02-23,10.8,1027.1,82,7.3,13.3,3,2,2.2,3.5,5.2,5.5,33.3
22188,2024-02-24,11.6,1025.9,80,7.9,13.2,3,1.9,2.1,3.9,5,5.5,33.3
22188,2024-02-25,7.9,1020.9,87,8.1,13.4,1.8,1.2,1.6,2.7,4.3,5,33.2
22188,2024-02-26,7.3,1025.8,67,9.1,13.8,1.9,1.2,2,3.4,4.5,5.2,33.2
22188,2024-02-27,10.2,1029.2,67,8.6,13.5,2.6,1.7,2,3.1,4.9,5.3,33.2
22188,2024-02-28,8.5,1027.6,72,10,14.5,2,1.3,1.6,2.4,4.5,4.9,33.2
22188,2024-02-29,9.5,1020.1,92,8.2,13.6,2,1.4,1.7,2.7,4.4,4.8,33.3
22188,2024-03-01,12.2,1020.5,55,4.6,13.3,2.5,1.6,2,3.1,4.4,4.8,33.3
22188,2024-03-02,6.3,1023,51,3.6,13.4,1.5,0.9,1.6,2.9,4.3,5.1,33.3
22188,2024-03-03,8.2,1020.2,62,9.9,13,1.4,0.9,1.2,1.9,3.7,3.9,33.3
22188,2024-03-04,5,1020.9,70,11.1,12.3,0.8,0.6,0.9,1.2,3.7,4.3,33.3
22188,2024-03-05,12.2,1010.7,97,10.2,11.5,3.2,2.1,2.9,4.1,5.1,5.9,33.4
22188,2024-03-06,8.9,1014.3,78,10.6,12.9,3.1,2,2.3,3.7,5.6,5.8,33.4
22188,2024-03-07,6.9,1016.5,68,9.6,13.8,2,1.3,2,3,4.9,5.6,33.4
22188,2024-03-08,10.3,,,,,2,1.3,1.7,2.7,4.1,4.4,33.3
22188,2024-03-09,,,,,,,,1.2,1.8,,5.3,33.2
22188,2024-03-10,3.6,1027.9,59,10.7,14.8,1.1,0.7,1,1.6,4.6,5,33.3
22188,2024-03-11,3.9,1020.9,73,11.4,13.9,0.8,0.5,0.8,1.2,4,4.7,33.3
22188,2024-03-12,5.9,1014.5,79,10.8,13.8,1,0.6,1.3,2.2,3.6,4.3,33.4
22188,2024-03-13,6.6,1021.1,65,10.9,13.6,1.5,1,1.4,2.3,4.2,4.5,33.4
22188,2024-03-14,5.9,1022.1,55,12.2,14.4,1.1,0.7,1.2,1.8,3.6,4,33.4
22188,2024-03-15,5.9,1023.6,58,13.3,14.4,1,0.6,1,1.6,3.4,3.8,33.5
22188,2024-03-16,3.4,1021.5,68,13.9,14.2,0.6,0.4,0.7,1.1,3.6,4.2,33.5
22188,2024-03-17,5.8,1014.6,77,14.1,14.4,1.1,0.7,1.5,2.5,3.6,4.3,33.5
22188,2024-03-18,5,1021.4,55,11.9,14.2,1.6,1.1,1.8,2.8,4.6,5,33.5
22188,2024-03-19,9.5,1017.4,59,12,13.5,1.8,1.1,2.3,4.1,4,4.9,33.5
22188,2024-03-20,11,1019.6,47,8.6,13.2,2.4,1.5,2.1,3.4,4.4,4.9,33.4
22188,2024-03-21,4.5,1019.3,49,8.8,13.8,1.6,1.1,1.4,2.3,5.5,6.7,33.5
22188,2024-03-22,8.3,1016.1,64,13.8,14.9,2.2,1.4,2.8,4.6,4.7,6.1,33.5
22188,2024-03-23,4.9,1014.4,,15.9,14.1,2.8,1.8,2.9,5.1,5.6,6.3,33.6
22188,2024-03-24,12.7,1016,,12.8,14.7,3.5,2.2,2.8,4.6,5.3,5.9,33.6
22188,2024-03-25,12.4,1013.5,,12.5,14.9,3.3,2,2.8,5.3,5.1,5.8,33.5
22188,2024-03-26,7.4,1016.9,,10.7,14,3.4,2.1,3.1,5.5,6,6.5,33.5
22188,2024-03-27,2.8,1023.6,67,13.4,14,1.5,1,1.5,2.3,5.8,6.3,33.4
22188,2024-03-28,8,1008.9,,13.7,14.3,3.1,1.9,3.5,5.9,5.1,6.6,33.5
22188,2024-03-29,8.8,1009.8,,14.2,14.4,2.7,1.7,2.1,3.2,5,5.3,33.6
22188,2024-03-30,5.2,1012.4,83,15.3,14,1.9,1.2,1.8,2.8,4.8,5.1,33.5
22188,2024-03-31,5.5,1011.2,84,13.9,13.8,1.5,1,1.5,2.4,4.3,5.1,33.5
22188,2024-04-01,3.4,1014.5,84,15.8,14.5,0.6,0.4,0.6,0.9,3.6,4.1,33.4
22188,2024-04-02,3.8,1014,,15.3,14.8,0.8,0.5,1,2.1,3.7,4.4,33.3
22188,2024-04-03,7.9,1005.2,,14.5,15.5,2.6,1.6,2.2,4.3,5,5.6,33.3
22188,2024-04-04,8.5,1015,,14.6,15.6,2.6,1.7,2,3.5,5.3,5.8,33.2
22188,2024-04-05,8.5,1018.9,80,14.8,15.3,2.1,1.3,2,4,4.5,5,33.1
22188,2024-04-06,2.5,1018.7,92,15.5,15.7,0.7,0.5,0.9,1.3,4.3,4.5,33
22188,2024-04-07,2.2,1017.1,84,15.7,17,0.4,0.3,0.3,0.6,3.7,4.3,32.8
22188,2024-04-08,3,1015.5,74,16,16.8,0.3,0.2,0.3,0.4,3.3,4,32.9
22188,2024-04-09,10.3,1021.5,73,13.9,16.2,2.8,1.7,2.9,5,4.6,5.6,33
22188,2024-04-10,,1025.7,73,13.3,15.7,,,1.4,1.9,,4.8,33
22188,2024-04-11,,,,,,,,0.8,1.3,,4.7,33.1
22188,2024-04-12,,,,,,,,0.5,0.8,,4.5,33.1
22188,2024-04-13,1.4,1018.1,89,16.2,16.7,0.5,0.3,0.4,0.7,4.5,5.1,33.1
22188,2024-04-14,,1018.9,93,16.4,16.4,,,0.5,0.8,,4.7,33.1
22188,2024-04-15,6.8,1012.1,92,16.3,15.5,2.9,1.8,3.8,6.3,4.9,6.6,33
22188,2024-04-16,,1012.4,91,14.9,15.2,,,1.1,1.6,,4.8,33.1
22188,2024-04-17,2.3,1011.1,82,15.5,15.5,0.6,0.4,0.6,1,3.6,3.8,33.1
22188,2024-04-18,,1010.6,84,16.1,16.5,,,0.4,0.6,,3.8,33
22188,2024-04-19,2.3,1013.4,91,16.2,16.3,0.5,0.3,0.4,0.6,3.4,3.7,33
22188,2024-04-20,5.5,1009.3,98,16,15.9,1.6,1,2,3.6,3.9,5.3,33
22188,2024-04-21,4.7,,,,,2.1,1.3,1.7,3,5,5.5,33
22188,2024-04-22,7.6,1013.2,87,15.4,15.4,2.1,1.4,1.9,3.4,4.7,5.1,32.9
22188,2024-04-23,11.6,1010.9,84,14.8,15.1,3.2,2,2.4,4.2,5.1,5.4,32.9
22188,2024-04-24,5.3,1008.8,86,15.1,15.2,1.7,1.1,1.3,2.1,4.6,5.5,33
22188,2024-04-25,4,1011.3,84,15.1,15.8,0.9,0.6,1,1.5,3.6,3.9,33
22188,2024-04-26,2.1,1010.9,95,16.1,16.2,0.5,0.3,0.4,0.7,3.6,4,33.2
22188,2024-04-27,1.9,1011.5,92,16.6,17.1,0.4,0.2,0.4,0.6,3.8,4.4,33.3
22188,2024-04-28,3.1,1013.7,95,17.3,17.4,0.6,0.4,0.9,2,4.1,4.7,33.3
22188,2024-04-29,,,,,,,,2.4,4.1,,5.4,33.2
22188,2024-04-30,3.2,1007.1,96,16,16.4,1,0.7,1.1,1.8,4.5,5,33.1
